ID,Material/Serviço,Data,Custo,Observação
1,Fio 10,2025-10-08,2930.0,
2,Cimento,2025-10-06,3749.0,Entrada manual
3,Mão de Obra Pedreiro,2025-10-03,2320.0,Entrada manual
4,Mão de Obra Pedreiro,2025-10-02,800.0,Entrada manual
5,Mão de Obra Servente,2025-10-02,2300.0,
6,Cimento Usinado,2025-10-01,12600.0,
7,Brita,2025-10-01,2850.0,
8,Cimento Usinado,2025-10-01,12600.0,
9,Areia caçamba,2025-10-01,3850.0,
10,Brita,2025-10-01,320.0,
11,Mão de Obra Carpinteiro,2025-09-23,2640.0,
12,Mão de Obra Pedreiro,2025-09-22,1320.0,
13,Arame Recozido,2025-09-20,1836.0,
14,Arame Recozido,2025-09-19,700.0,
15,Areia caçamba,2025-09-19,1200.0,
16,Ferro 5/16,2025-09-16,3895.0,
17,Areia caçamba,2025-09-16,400.0,
18,Ferro 3/8,2025-09-15,4750.0,
19,Bloco,2025-09-14,680.0,
20,Mão de Obra Pedreiro,2025-09-13,1150.0,
21,Frete Brita,2025-09-10,1600.0,
22,Cimento,2025-09-10,875.0,
23,Brita,2025-09-10,680.0,
24,Bloco,2025-09-09,900.0,
25,Cimento,2025-09-05,380.0,
26,Bloco,2025-09-03,300.0,
27,Cimento,2025-09-01,500.0,
28,Telha,2025-08-22,800.0,
29,Cimento,2025-05-09,300.0,
